Kudos Date,Kudos Type,Parent ID
"2 Oct 2015, 09:07:14",Activity,404576831
"3 Oct 2015, 11:15:48",Activity,405255774
"4 Oct 2015, 16:14:24",Activity,406095556
"5 Oct 2015, 12:03:57",Activity,406780988
"7 Oct 2015, 08:29:23",Activity,407653729
"9 Oct 2015, 15:27:46",Activity,409289932
"11 Oct 2015, 19:17:43",Activity,410842606
"11 Oct 2015, 19:17:48",Activity,410654365
"11 Oct 2015, 19:17:54",Activity,410644666
"11 Oct 2015, 19:18:01",Activity,410297350
"17 Oct 2015, 17:05:04",Activity,414559543
"18 Oct 2015, 19:58:46",Activity,415564867
"30 Oct 2015, 08:31:09",Activity,421201478
"10 Nov 2015, 21:51:00",Activity,430277843
"14 Nov 2015, 11:47:37",Activity,432335329
"20 Nov 2015, 11:43:22",Activity,435581263
"21 Nov 2015, 17:37:09",Activity,435927610
"22 Nov 2015, 14:01:03",Activity,437231864
"22 Nov 2015, 15:39:20",Activity,437351366
"26 Nov 2015, 22:31:13",Activity,439721808
"30 Nov 2015, 16:39:11",Activity,441549074
"4 Dec 2015, 12:41:21",Activity,444052664
"7 Dec 2015, 22:54:34",Activity,445892729
"8 Dec 2015, 13:59:50",Activity,446469680
"12 Dec 2015, 17:25:54",Activity,448434899
"13 Dec 2015, 15:29:54",Activity,449244335
"13 Dec 2015, 15:32:38",Activity,448702196
"13 Dec 2015, 16:02:02",Activity,449437958
"20 Dec 2015, 13:43:08",Activity,453361623
"20 Dec 2015, 14:14:44",Activity,453360622
"21 Dec 2015, 09:18:30",Activity,453696713
"21 Dec 2015, 18:17:58",Activity,454004006
"22 Dec 2015, 20:26:40",Activity,454616014
"23 Dec 2015, 12:36:59",Activity,454932035
"26 Dec 2015, 14:58:03",Activity,456004293
"29 Dec 2015, 11:27:01",Activity,457370000
"29 Dec 2015, 20:22:24",Activity,458913780
"6 Jan 2016, 10:32:09",Activity,464109261
"11 Jan 2016, 08:26:13",Activity,467531142
"14 Jan 2016, 09:59:04",Activity,470001407
"15 Jan 2016, 13:18:08",Activity,470758739
"19 Jan 2016, 11:11:11",Activity,473651986
"24 Jan 2016, 18:53:31",Activity,472950695
"26 Jan 2016, 16:39:04",Activity,474984835
"27 Jan 2016, 20:24:33",Activity,479761460
"29 Jan 2016, 09:45:46",Activity,480739656
"29 Jan 2016, 13:10:31",Activity,481039516
"30 Jan 2016, 15:54:11",Activity,481895560
"8 Feb 2016, 08:35:20",Activity,488055404
"10 Feb 2016, 15:37:38",Activity,490249010
"13 Feb 2016, 22:46:32",Activity,492462387
"14 Feb 2016, 19:02:51",Activity,493288752
"14 Feb 2016, 22:01:43",Activity,493351452
"15 Feb 2016, 18:07:36",Activity,494200413
"15 Feb 2016, 19:36:21",Activity,493283618
"25 Feb 2016, 12:52:51",Activity,501397183
"25 Feb 2016, 17:53:42",Activity,501280496
"25 Feb 2016, 17:53:47",Activity,501280471
"25 Feb 2016, 17:53:51",Activity,501280405
"25 Feb 2016, 17:53:53",Activity,501280380
"25 Feb 2016, 17:53:58",Activity,501280366
"26 Feb 2016, 20:55:24",Activity,502779801
"28 Feb 2016, 16:22:33",Activity,504598008
"28 Feb 2016, 16:22:44",Activity,504393983
"29 Feb 2016, 12:27:26",Activity,504832436
"2 Mar 2016, 13:38:33",Activity,506245568
"4 Mar 2016, 09:45:28",Activity,508216915
"5 Mar 2016, 16:59:25",Activity,509178229
"5 Mar 2016, 19:06:34",Activity,509315994
"6 Mar 2016, 16:43:13",Activity,510147884
"6 Mar 2016, 16:43:44",Activity,510147664
"6 Mar 2016, 21:19:18",Activity,510302234
"9 Mar 2016, 16:45:11",Activity,512559917
"10 Mar 2016, 20:30:32",Activity,513468177
"10 Mar 2016, 20:30:32",Activity,513429582
"11 Mar 2016, 23:04:10",Activity,514025281
"13 Mar 2016, 16:02:57",Activity,515596977
"13 Mar 2016, 20:18:46",Activity,516201134
"14 Mar 2016, 10:10:22",Activity,516418504
"20 Mar 2016, 21:10:04",Activity,522412958
"20 Mar 2016, 21:10:08",Activity,522412944
"20 Mar 2016, 21:11:48",Activity,522436245
"22 Mar 2016, 10:27:26",Activity,522929365
"23 Mar 2016, 14:22:21",Activity,524566741
"24 Mar 2016, 10:39:20",Activity,525245393
"26 Mar 2016, 07:53:18",Activity,526366142
"29 Mar 2016, 09:13:54",Activity,529116535
"31 Mar 2016, 09:20:21",Activity,531460190
"31 Mar 2016, 12:22:29",Activity,529284753
"31 Mar 2016, 20:16:45",Activity,532027214
"3 Apr 2016, 13:08:05",Activity,534308651
"5 Apr 2016, 15:39:40",Activity,535554459
"7 Apr 2016, 08:29:53",Activity,537085285
"9 Apr 2016, 10:30:37",Activity,539873878
"9 Apr 2016, 10:30:45",Activity,539545892
"11 Apr 2016, 17:51:16",Activity,542226267
"13 Apr 2016, 18:16:47",Activity,544344855
"17 Apr 2016, 17:32:53",Activity,547795459
"17 Apr 2016, 18:06:11",Activity,548471941
"18 Apr 2016, 08:50:29",Activity,548995876
"18 Apr 2016, 08:51:17",Activity,548462995
"19 Apr 2016, 08:49:25",Activity,549362026
"21 Apr 2016, 11:38:08",Activity,551566779
"21 Apr 2016, 14:20:10",Activity,552308039
"21 Apr 2016, 19:03:27",Activity,552585676
"22 Apr 2016, 21:16:49",Activity,553629366
"23 Apr 2016, 20:53:40",Activity,554572601
"24 Apr 2016, 19:02:55",Activity,555491407
"27 Apr 2016, 21:06:08",Activity,557870825
"30 Apr 2016, 21:10:13",Activity,561185866
"30 Apr 2016, 21:10:16",Activity,561259389
"2 May 2016, 19:29:12",Activity,563239232
"4 May 2016, 19:20:24",Activity,565404154
"8 May 2016, 12:48:56",Activity,569346681
"8 May 2016, 12:49:17",Activity,568415466
"8 May 2016, 16:51:45",Activity,569758309
"8 May 2016, 18:10:13",Activity,569562972
"8 May 2016, 20:55:41",Activity,569859496
"9 May 2016, 08:37:08",Activity,570106920
"12 May 2016, 07:28:13",Activity,572946106
"14 May 2016, 10:11:03",Activity,574693960
"15 May 2016, 14:49:00",Activity,576710611
"15 May 2016, 14:49:01",Activity,576652994
"15 May 2016, 14:49:24",Activity,576821085
"16 May 2016, 09:30:38",Activity,575320583
"22 May 2016, 09:27:37",Activity,583952828
"22 May 2016, 09:27:44",Activity,583952835
"23 May 2016, 16:44:16",Activity,585328379
"23 May 2016, 16:44:35",Activity,583997205
"26 May 2016, 15:15:11",Activity,588133328
"27 May 2016, 07:51:49",Activity,588839459
"29 May 2016, 16:06:00",Activity,592096669
"29 May 2016, 16:54:42",Activity,592157315
"29 May 2016, 16:54:48",Activity,592157311
"1 Jun 2016, 13:58:45",Activity,594986458
"3 Jun 2016, 17:00:31",Activity,597221127
"3 Jun 2016, 17:00:35",Activity,597242153
"5 Jun 2016, 17:42:57",Activity,599111530
"5 Jun 2016, 17:46:51",Activity,599209507
"5 Jun 2016, 20:11:54",Activity,599788524
"8 Jun 2016, 11:56:20",Activity,601967233
"8 Jun 2016, 17:41:48",Activity,602754924
"11 Jun 2016, 18:26:13",Activity,605594686
"12 Jun 2016, 12:29:12",Activity,606358905
"12 Jun 2016, 19:49:57",Activity,607437219
"24 Jun 2016, 17:03:53",Activity,619457280
"24 Jun 2016, 17:04:01",Activity,619459644
"26 Jun 2016, 19:03:25",Activity,621776241
"27 Jun 2016, 15:33:34",Activity,622410339
"28 Jun 2016, 01:26:57",Activity,622612277
"30 Jun 2016, 06:30:36",Activity,625079175
